1000
(462, 152)
(417, 293)
(421, 144)
(497, 83)
(430, 206)
(291, 179)
(508, 223)
(496, 149)
(298, 248)
(509, 89)
(360, 227)
(402, 112)
(334, 233)
(483, 101)
(398, 275)
(287, 240)
(455, 104)
(403, 284)
(313, 279)
(503, 202)
(483, 128)
(453, 110)
(529, 114)
(539, 8)
(399, 262)
(418, 194)
(437, 185)
(425, 89)
(464, 147)
(356, 223)
(362, 145)
(520, 200)
(370, 270)
(374, 224)
(473, 146)
(439, 98)
(315, 280)
(463, 263)
(448, 254)
(363, 234)
(354, 194)
(499, 163)
(437, 289)
(439, 76)
(312, 190)
(505, 99)
(409, 83)
(445, 104)
(339, 250)
(424, 114)
(414, 270)
(298, 189)
(426, 313)
(508, 123)
(351, 254)
(359, 229)
(478, 167)
(390, 157)
(465, 86)
(505, 159)
(387, 181)
(455, 194)
(514, 63)
(541, 112)
(525, 135)
(333, 222)
(450, 118)
(381, 95)
(435, 155)
(308, 161)
(512, 134)
(529, 102)
(447, 139)
(491, 62)
(300, 156)
(421, 63)
(341, 144)
(445, 183)
(377, 123)
(495, 74)
(392, 178)
(305, 159)
(287, 203)
(352, 284)
(431, 183)
(485, 184)
(483, 215)
(380, 305)
(435, 79)
(493, 172)
(507, 68)
(353, 235)
(552, 106)
(458, 253)
(352, 167)
(345, 190)
(446, 133)
(424, 245)
(366, 204)
(326, 251)
(313, 164)
(395, 259)
(476, 184)
(455, 225)
(295, 234)
(412, 317)
(376, 112)
(482, 215)
(310, 281)
(438, 285)
(471, 96)
(508, 153)
(334, 141)
(371, 126)
(389, 132)
(462, 271)
(476, 116)
(471, 160)
(437, 180)
(358, 138)
(378, 158)
(408, 233)
(429, 220)
(434, 108)
(350, 161)
(384, 228)
(304, 214)
(483, 91)
(298, 225)
(539, 84)
(470, 83)
(441, 146)
(291, 249)
(384, 285)
(357, 159)
(460, 172)
(296, 208)
(475, 221)
(332, 270)
(508, 227)
(420, 145)
(328, 164)
(310, 195)
(294, 199)
(375, 128)
(440, 239)
(294, 271)
(371, 253)
(444, 300)
(369, 70)
(426, 224)
(544, 184)
(300, 162)
(446, 295)
(521, 161)
(384, 185)
(408, 98)
(533, 222)
(418, 247)
(419, 129)
(358, 263)
(476, 271)
(503, 151)
(478, 121)
(363, 141)
(314, 231)
(395, 207)
(412, 290)
(450, 237)
(337, 270)
(331, 128)
(518, 80)
(355, 203)
(533, 111)
(466, 147)
(393, 282)
(354, 176)
(400, 143)
(483, 128)
(467, 184)
(488, 166)
(352, 120)
(526, 116)
(542, 86)
(328, 209)
(518, 58)
(409, 86)
(433, 269)
(465, 234)
(515, 231)
(444, 244)
(487, 112)
(506, 211)
(530, 44)
(462, 172)
(446, 144)
(383, 184)
(464, 261)
(497, 99)
(435, 293)
(471, 106)
(479, 97)
(385, 310)
(444, 164)
(422, 172)
(433, 82)
(353, 190)
(415, 271)
(321, 218)
(386, 290)
(401, 265)
(330, 197)
(527, 136)
(311, 230)
(534, 190)
(404, 235)
(457, 260)
(527, 217)
(540, 5)
(465, 182)
(543, 176)
(341, 162)
(479, 187)
(450, 251)
(433, 124)
(419, 180)
(507, 87)
(396, 177)
(301, 263)
(478, 202)
(351, 269)
(458, 289)
(389, 73)
(388, 285)
(437, 175)
(474, 239)
(345, 228)
(416, 267)
(509, 79)
(487, 262)
(393, 158)
(333, 269)
(407, 97)
(345, 121)
(398, 86)
(410, 245)
(414, 308)
(524, 192)
(531, 97)
(373, 193)
(484, 217)
(324, 163)
(353, 103)
(550, 128)
(302, 170)
(435, 77)
(462, 164)
(302, 273)
(309, 174)
(469, 200)
(438, 104)
(287, 270)
(534, 74)
(486, 62)
(431, 117)
(495, 84)
(489, 165)
(489, 83)
(421, 150)
(450, 183)
(386, 168)
(508, 109)
(356, 286)
(366, 251)
(448, 65)
(291, 203)
(498, 241)
(389, 301)
(365, 135)
(393, 92)
(469, 88)
(437, 124)
(341, 139)
(499, 214)
(373, 233)
(464, 267)
(364, 250)
(476, 152)
(415, 229)
(478, 220)
(467, 180)
(362, 112)
(309, 166)
(507, 155)
(378, 269)
(394, 271)
(384, 147)
(436, 267)
(492, 148)
(323, 203)
(441, 284)
(425, 70)
(440, 91)
(322, 274)
(338, 267)
(472, 279)
(482, 191)
(516, 115)
(291, 189)
(419, 305)
(453, 288)
(529, 149)
(406, 90)
(372, 65)
(413, 309)
(316, 185)
(286, 263)
(400, 295)
(536, 28)
(314, 243)
(522, 154)
(412, 88)
(450, 240)
(443, 145)
(429, 292)
(394, 238)
(353, 255)
(420, 160)
(313, 180)
(286, 250)
(405, 281)
(397, 176)
(437, 129)
(502, 202)
(370, 149)
(400, 96)
(326, 258)
(507, 187)
(327, 144)
(336, 278)
(491, 232)
(548, 151)
(541, 179)
(449, 167)
(398, 312)
(495, 179)
(443, 141)
(543, 137)
(438, 96)
(435, 248)
(325, 241)
(352, 228)
(489, 257)
(403, 221)
(477, 147)
(330, 248)
(330, 233)
(297, 248)
(463, 248)
(396, 290)
(388, 161)
(357, 224)
(483, 177)
(345, 145)
(329, 145)
(520, 81)
(452, 124)
(533, 152)
(469, 126)
(420, 261)
(494, 115)
(435, 191)
(434, 269)
(539, 123)
(427, 169)
(458, 233)
(523, 73)
(418, 262)
(372, 210)
(528, 103)
(518, 139)
(411, 178)
(348, 265)
(422, 128)
(525, 106)
(424, 228)
(454, 163)
(496, 144)
(518, 62)
(391, 276)
(405, 294)
(369, 111)
(371, 252)
(463, 215)
(508, 248)
(411, 146)
(507, 156)
(322, 210)
(553, 118)
(404, 131)
(418, 229)
(437, 120)
(306, 167)
(535, 151)
(506, 120)
(347, 139)
(343, 259)
(377, 113)
(408, 116)
(307, 262)
(557, 104)
(396, 161)
(379, 119)
(377, 223)
(443, 99)
(505, 231)
(380, 85)
(376, 103)
(371, 275)
(498, 115)
(377, 273)
(406, 277)
(320, 256)
(454, 266)
(456, 210)
(403, 73)
(377, 288)
(497, 108)
(363, 156)
(450, 88)
